"","CANAL","ORIGEN","DESTINO","valor","trans","consistentes","conciliado","peso_val","peso_trans","ponderado_val","ponderado_trans"
"1","ACH",0,1,153388748.929716,211870,175900,83.0226082031434,2.97740355429639,20.2055170111818,2.47191808750996,16.775147223613
"2","ACH",1,0,133991819.533705,382386,371218,97.0793909818874,2.60089297624491,36.4672054931693,2.52493106142924,35.4021410008822
"3","ACH",1,1,5429661.73951296,5554,5554,100,0.105394263103746,0.52967122046587,0.105394263103746,0.52967122046587
"4","ACH",1,NA,4147946.27476608,388,0,0,0.0805150968874381,0.0370025987649906,0,0
"5","ACH",NA,1,106222108.750786,1365,0,0,2.06185972795412,0.130176668335598,0,0
"6","ACH",NA,NA,217913529.918667,108,0,0,4.22988337173545,0.0102996924397396,0,0
"7","PSE",1,0,4066884959.51113,86766,38176,43.99880137381,78.9416291472022,8.27465846505972,34.7333706097272,3.64075054240278
"8","PSE",1,NA,81568567.9751538,3526,0,0,1.58331393862122,0.336265884652981,0,0
"9","PSE",NA,0,70763835.0993076,3484,0,0,1.37358506155404,0.332260448704194,0,0
"10","PSE",NA,NA,311450957.714985,353128,263312,74.5655966108607,6.04552286240052,33.6769425172258,4.50788019059492,25.111413108266
