"","FECHAPROCESO","TIPOTX","CANAL","valtransaccion","transacciones","consistentes","conciliado","peso_val","peso_trans"
"1","2022-09-01","DevolucionDineroTransfiya","TRANSFIYA",226473.684210526,19,19,100,0.00483077634025769,0.00178546760926827
"2","2022-09-01","EnvioDineroTransfiya","TRANSFIYA",176802.435714286,420,358,85.2380952380952,0.00377126828808309,0.0394682313627722
"3","2022-09-01","ReciboDineroTransfiya","TRANSFIYA",172144.569230769,65,61,93.8461538461538,0.00367191409034004,0.00610817866328618
"4","2022-09-02","DevolucionDineroTransfiya","TRANSFIYA",93958.6206896552,29,28,96.551724137931,0.0020041758201315,0.00272518740361999
"5","2022-09-02","EnvioDineroTransfiya","TRANSFIYA",175589.954545455,440,366,83.1818181818182,0.00374540556869556,0.0413476709514757
"6","2022-09-02","ReciboDineroTransfiya","TRANSFIYA",237634.06,100,93,93,0.00506883172183596,0.0093971979435172
"7","2022-09-03","DevolucionDineroTransfiya","TRANSFIYA",85766.3157894737,19,19,100,0.00182943060493384,0.00178546760926827
"8","2022-09-03","EnvioDineroTransfiya","TRANSFIYA",181741.090225564,399,345,86.4661654135338,0.00387661180933571,0.0374948197946336
"9","2022-09-03","ReciboDineroTransfiya","TRANSFIYA",222938.561643836,73,67,91.7808219178082,0.00475537072960314,0.00685995449876756
"10","2022-09-04","DevolucionDineroTransfiya","TRANSFIYA",116300.272727273,22,21,95.4545454545455,0.00248073239862238,0.00206738354757378
"11","2022-09-04","EnvioDineroTransfiya","TRANSFIYA",168595.486552567,409,348,85.0855745721271,0.00359621070479552,0.0384345395889854
"12","2022-09-04","ReciboDineroTransfiya","TRANSFIYA",234901.116883117,77,73,94.8051948051948,0.00501053692703748,0.00723584241650825
"13","2022-09-05","DevolucionDineroTransfiya","TRANSFIYA",114515,20,18,90,0.00244265180094994,0.00187943958870344
"14","2022-09-05","EnvioDineroTransfiya","TRANSFIYA",177702.881012658,395,347,87.8481012658228,0.00379047515469207,0.0371189318768929
"15","2022-09-05","ReciboDineroTransfiya","TRANSFIYA",171393.959459459,74,63,85.1351351351351,0.00365590327682477,0.00695392647820273
"16","2022-09-06","DevolucionDineroTransfiya","TRANSFIYA",117236.05,20,19,95,0.00250069291069953,0.00187943958870344
"17","2022-09-06","EnvioDineroTransfiya","TRANSFIYA",167875.902147971,419,350,83.5322195704057,0.00358086167504552,0.0393742593833371
"18","2022-09-06","ReciboDineroTransfiya","TRANSFIYA",240636.64556962,79,75,94.9367088607595,0.0051328781004688,0.00742378637537859
"19","2022-09-07","DevolucionDineroTransfiya","TRANSFIYA",40941.1764705882,17,17,100,0.000873292044176671,0.00159752365039792
"20","2022-09-07","EnvioDineroTransfiya","TRANSFIYA",180523.811494253,435,374,85.9770114942529,0.00385064675597768,0.0408778110542998
"21","2022-09-07","ReciboDineroTransfiya","TRANSFIYA",194690.588235294,85,79,92.9411764705882,0.00415282989984669,0.00798761825198962
"22","2022-09-08","DevolucionDineroTransfiya","TRANSFIYA",178525.806451613,31,31,100,0.00380802849098434,0.00291313136249033
"23","2022-09-08","EnvioDineroTransfiya","TRANSFIYA",159539.244604317,417,354,84.8920863309353,0.0034030373589043,0.0391863154244667
"24","2022-09-08","ReciboDineroTransfiya","TRANSFIYA",175243.010752688,93,88,94.6236559139785,0.00373800511565247,0.008739394087471
"25","2022-09-09","DevolucionDineroTransfiya","TRANSFIYA",68822.2222222222,18,18,100,0.001468006156892,0.0016914956298331
"26","2022-09-09","EnvioDineroTransfiya","TRANSFIYA",164759.127358491,424,358,84.4339622641509,0.00351437959363539,0.0398441192805129
"27","2022-09-09","ReciboDineroTransfiya","TRANSFIYA",204639.319444444,72,69,95.8333333333333,0.00436504040681257,0.00676598251933239
"28","2022-09-10","DevolucionDineroTransfiya","TRANSFIYA",133853,22,20,90.9090909090909,0.00285513925260928,0.00206738354757378
"29","2022-09-10","EnvioDineroTransfiya","TRANSFIYA",198739.826086957,414,350,84.5410628019324,0.0042392017998671,0.0389043994861612
"30","2022-09-10","ReciboDineroTransfiya","TRANSFIYA",227569.5,64,60,93.75,0.0048541505393728,0.00601420668385101
"31","2022-09-11","DevolucionDineroTransfiya","TRANSFIYA",136827.384615385,26,24,92.3076923076923,0.00291858409335056,0.00244327146531447
"32","2022-09-11","EnvioDineroTransfiya","TRANSFIYA",195162.768348624,436,375,86.0091743119266,0.0041629016948447,0.040971783033735
"33","2022-09-11","ReciboDineroTransfiya","TRANSFIYA",178086.890243902,82,77,93.9024390243902,0.00379866622870228,0.00770570231368411
"34","2022-09-12","DevolucionDineroTransfiya","TRANSFIYA",193081.818181818,22,21,95.4545454545455,0.00411851417641799,0.00206738354757378
"35","2022-09-12","EnvioDineroTransfiya","TRANSFIYA",197494.792410714,448,378,84.375,0.00421264472217845,0.0420994467869571
"36","2022-09-12","ReciboDineroTransfiya","TRANSFIYA",192662.130434783,69,64,92.7536231884058,0.00410956206506897,0.00648406658102687
"37","2022-09-13","DevolucionDineroTransfiya","TRANSFIYA",155437.863636364,22,22,100,0.00331555322488036,0.00206738354757378
"38","2022-09-13","EnvioDineroTransfiya","TRANSFIYA",158423.945945946,444,378,85.1351351351351,0.00337924758222469,0.0417235588692164
"39","2022-09-13","ReciboDineroTransfiya","TRANSFIYA",208558.549295775,71,63,88.7323943661972,0.00444863918299638,0.00667201053989721
"40","2022-09-14","DevolucionDineroTransfiya","TRANSFIYA",145545.454545455,22,21,95.4545454545455,0.00310454409173935,0.00206738354757378
